Date,Value
2016-05-23,1501630.05748
2016-05-22,561248.072415
2016-05-21,1085169.05603
2016-05-20,2001455.84151
2016-05-19,2185707.40671
2016-05-18,1330886.85052
2016-05-17,1871493.67051
2016-05-16,975033.768605
2016-05-15,677183.849412
2016-05-14,655376.136491
2016-05-13,1543579.11824
2016-05-12,1285792.63285
2016-05-11,2099718.13869
2016-05-10,2158372.64203
2016-05-09,1438419.86101
2016-05-08,667993.263726
2016-05-07,1825474.70861
2016-05-06,1908047.64042
2016-05-05,998898.495812
2016-05-04,1503860.56974
2016-05-03,2669753.97353
2016-05-02,2445923.47287
2016-05-01,709130.856737
2016-04-30,1140251.89857
2016-04-29,1490269.36609
2016-04-28,4344106.55584
2016-04-27,2633843.9851
2016-04-26,2983376.38144
2016-04-25,3423984.86218
2016-04-24,1773454.7659
2016-04-23,855534.182333
2016-04-22,3008293.85135
2016-04-21,2147892.6357
2016-04-20,3338048.4205
2016-04-19,1262648.78438
2016-04-18,1344097.77437
2016-04-17,641867.11474
2016-04-16,970785.7635
2016-04-15,1803733.63314
2016-04-14,1708146.94161
2016-04-13,2004657.64062
2016-04-12,2215697.43795
2016-04-11,1379423.14301
2016-04-10,677591.797976
2016-04-09,2170687.83728
2016-04-08,1542537.11415
2016-04-07,1136016.78657
2016-04-06,1068243.24096
2016-04-05,1675286.57027
2016-04-04,1352351.23304
2016-04-03,513944.810518
2016-04-02,1124673.54497
2016-04-01,1567819.67775
2016-03-31,1607678.21988
2016-03-30,1949470.17095
2016-03-29,2353611.33346
2016-03-28,1558051.46344
2016-03-27,1830831.11589
2016-03-26,632689.26319
2016-03-25,1044953.03965
2016-03-24,1551346.88503
2016-03-23,1841920.94039
2016-03-22,1559157.21947
2016-03-21,1551456.85777
2016-03-20,890150.049624
2016-03-19,1726882.37997
2016-03-18,2085791.96979
2016-03-17,1745496.90153
2016-03-16,1721925.05834
2016-03-15,1886749.72499
2016-03-14,1805974.84531
2016-03-13,1271711.97328
2016-03-12,2046654.80041
2016-03-11,2460188.32906
2016-03-10,2263213.29527
2016-03-09,2099721.51638
2016-03-08,2462718.3808
2016-03-07,2213183.00411
2016-03-06,2609692.28617
2016-03-05,7358905.89896
2016-03-04,2534594.06151
2016-03-03,3168588.89829
2016-03-02,2555701.55995
2016-03-01,2745580.55107
2016-02-29,3355863.50661
2016-02-28,1426175.54751
2016-02-27,2185656.58815
2016-02-26,1720670.37086
2016-02-25,2352423.75636
2016-02-24,3206478.21378
2016-02-23,4467627.64513
2016-02-22,2356175.13185
2016-02-21,5686825.78411
2016-02-20,3781532.48982
2016-02-19,2479707.55159
2016-02-18,4208388.25107
2016-02-17,4189919.67031
2016-02-16,3321746.03168
2016-02-15,3656329.93239
2016-02-14,3514906.87256
2016-02-13,2860458.2349
2016-02-12,2656527.25188
2016-02-11,2291136.78898
2016-02-10,3821055.05322
2016-02-09,3001751.49455
2016-02-08,1627261.08192
2016-02-07,1131189.26199
2016-02-06,2407116.76063
2016-02-05,3975579.90036
2016-02-04,4163133.912
2016-02-03,2349071.29729
2016-02-02,2379253.18225
2016-02-01,2777039.42907
2016-01-31,1201012.97114
2016-01-30,1620409.81609
2016-01-29,4614923.01993
2016-01-28,4212021.8699
2016-01-27,2169876.31671
2016-01-26,2407845.02035
2016-01-25,3013501.03127
2016-01-24,2217865.52279
2016-01-23,4049606.58157
2016-01-22,4755001.70375
2016-01-21,5619451.73708
2016-01-20,8657528.51622
2016-01-19,2378046.5094
2016-01-18,3004188.48632
2016-01-17,5521610.43657
2016-01-16,10019902.21
2016-01-15,11197858.9873
2016-01-14,1845637.85618
2016-01-13,5419821.32588
2016-01-12,1992391.45345
2016-01-11,3399905.42711
2016-01-10,1868936.18245
2016-01-09,2340232.63907
2016-01-08,5250478.84104
2016-01-07,6567649.21028
2016-01-06,2308594.27174
2016-01-05,2246730.38856
2016-01-04,2113357.54902
2016-01-03,1676695.61197
2016-01-02,1413741.955
2016-01-01,1676937.86228
2015-12-31,2829033.49276
2015-12-30,4412445.45045
2015-12-29,3991988.23458
2015-12-28,2640093.34354
2015-12-27,4054014.58946
2015-12-26,9750449.17996
2015-12-25,1685137.05172
2015-12-24,4949726.8383
2015-12-23,3442564.84955
2015-12-22,3625892.29557
2015-12-21,9061587.01819
2015-12-20,5577253.72068
2015-12-19,4070876.86949
2015-12-18,5112384.73491
2015-12-17,4592972.37358
2015-12-16,10135765.9634
2015-12-15,8847019.20277
2015-12-14,6083498.88603
2015-12-13,4262438.34949
2015-12-12,16691144.6197
2015-12-11,8176905.86701
2015-12-10,3908387.23435
2015-12-09,10039429.0896
2015-12-08,3703438.20894
2015-12-07,5428565.20881
2015-12-06,6807888.98298
2015-12-05,5106790.53404
2015-12-04,3669384.18285
2015-12-03,4637675.8564
2015-12-02,4028450.33161
2015-12-01,6746806.71249
2015-11-30,6518301.15789
2015-11-29,1753604.55398
2015-11-28,2445268.99823
2015-11-27,5850941.17046
2015-11-26,11926942.3137
2015-11-25,3609487.88539
2015-11-24,2489124.34418
2015-11-23,1548259.69712
2015-11-22,1244050.16882
2015-11-21,2120482.23377
2015-11-20,6960341.4744
2015-11-19,8981796.63931
2015-11-18,9387140.15379
2015-11-17,11060242.1556
2015-11-16,9613214.02796
2015-11-15,7221892.24507
2015-11-14,7182468.05847
2015-11-13,8526840.51183
2015-11-12,13193960.7098
2015-11-11,18671886.6378
2015-11-10,12703982.9831
2015-11-09,10133578.6973
2015-11-08,9364707.19491
2015-11-07,13164083.0014
2015-11-06,18852837.2388
2015-11-05,33926137.5878
2015-11-04,42637208.1454
2015-11-03,30679411.8111
2015-11-02,8474723.45242
2015-11-01,5186503.48482
2015-10-31,8198334.28759
2015-10-30,12504803.1127
2015-10-29,10555470.9796
2015-10-28,9361565.20944
2015-10-27,9673545.13009
2015-10-26,7475448.36757
2015-10-25,7843753.87625
2015-10-24,6089211.25135
2015-10-23,6368249.32979
2015-10-22,6546667.91082
2015-10-21,6811545.34385
2015-10-20,7005373.07606
2015-10-19,4146928.22188
2015-10-18,3942590.94076
2015-10-17,7378777.67306
2015-10-16,7237489.64106
2015-10-15,5857389.07178
2015-10-14,6701017.94006
2015-10-13,6489474.05438
2015-10-12,5048207.9399
2015-10-11,1991663.5001
2015-10-10,4398058.72661
2015-10-09,3791162.80547
2015-10-08,3544977.56704
2015-10-07,5443412.05338
2015-10-06,7104493.0841
2015-10-05,4674509.05229
2015-10-04,3051262.57631
2015-10-03,4398547.94101
2015-10-02,5136638.31323
2015-10-01,3786233.91052
2015-09-30,5270879.91119
2015-09-29,4991164.28707
2015-09-28,5409704.00691
2015-09-27,2374274.02566
2015-09-26,3603087.92631
2015-09-25,5662004.77127
2015-09-24,6143939.93931
2015-09-23,2515124.09556
2015-09-22,4403511.70688
2015-09-21,2802222.98891
2015-09-20,3070520.89291
2015-09-19,3324257.51137
2015-09-18,4510620.17216
2015-09-17,3021589.47938
2015-09-16,3927533.70123
2015-09-15,4390462.45688
2015-09-14,4885952.06488
2015-09-13,3526922.19968
2015-09-12,3940288.00866
2015-09-11,3198606.73255
2015-09-10,5293523.60225
2015-09-09,5211016.68131
2015-09-08,6322302.20829
2015-09-07,6253952.4572
2015-09-06,5284299.88217
2015-09-05,4661730.02543
2015-09-04,4678278.55412
2015-09-03,4960784.0288
2015-09-02,4513201.22032
2015-09-01,5285395.00715
2015-08-31,3814154.66558
2015-08-30,3614395.12736
2015-08-29,3926243.55147
2015-08-28,5062241.00219
2015-08-27,3172231.28815
2015-08-26,7262770.6845
2015-08-25,10110194.3083
2015-08-24,5737263.80312
2015-08-23,3340102.00078
2015-08-22,3290821.05976
2015-08-21,2324137.63446
2015-08-20,4795997.86532
2015-08-19,6016070.54364
2015-08-18,2428063.44804
2015-08-17,1939477.64252
2015-08-16,2457715.62167
2015-08-15,1279542.14661
2015-08-14,2537895.24648
2015-08-13,2601765.979
2015-08-12,2902827.01076
2015-08-11,1851465.45608
2015-08-10,2729155.28567
2015-08-09,2590061.86639
2015-08-08,2251104.13602
2015-08-07,2555552.49955
2015-08-06,1891671.65385
2015-08-05,1847303.66227
2015-08-04,1718770.86364
2015-08-03,1780252.12684
2015-08-02,1231691.55728
2015-08-01,2084708.43761
2015-07-31,2293641.88344
2015-07-30,2745976.51328
2015-07-29,2745024.7158
2015-07-28,3886676.36882
2015-07-27,2693970.016
2015-07-26,1633205.21247
2015-07-25,2821464.94316
2015-07-24,3887226.08315
2015-07-23,2030312.57482
2015-07-22,2490978.0238
2015-07-21,2083742.55123
2015-07-20,2502265.57039
2015-07-19,1334571.80963
2015-07-18,2954144.36787
2015-07-17,3553708.15598
2015-07-16,6262766.45236
2015-07-15,2047775.77478
2015-07-14,3289740.47151
2015-07-13,8667679.21323
2015-07-12,6677463.4551
2015-07-11,4683709.26078
2015-07-10,7216507.33055
2015-07-09,3839394.28406
2015-07-08,4469428.10356
2015-07-07,4037671.08321
2015-07-06,6496801.86671
2015-07-05,4223919.90053
2015-07-04,1875664.25846
2015-07-03,2179138.46338
2015-07-02,2669145.66293
2015-07-01,3870044.77822
2015-06-30,5102700.85193
2015-06-29,3466515.28928
2015-06-28,1776223.69927
2015-06-27,1655413.08416
2015-06-26,960393.330711
2015-06-25,1256182.32866
2015-06-24,1660686.68979
2015-06-23,1177823.52299
2015-06-22,1174145.20952
2015-06-21,488875.566987
2015-06-20,1498695.21334
2015-06-19,1502419.59492
2015-06-18,3052713.67435
2015-06-17,4321270.16872
2015-06-16,4056676.69195
2015-06-15,2207160.22381
2015-06-14,1187052.31361
2015-06-13,802279.944095
2015-06-12,1164648.42708
2015-06-11,1390374.47144
2015-06-10,1320103.41759
2015-06-09,2215932.11102
2015-06-08,1672692.11949
2015-06-07,781109.490895
2015-06-06,803238.477854
2015-06-05,1887450.54278
2015-06-04,1129310.37472
2015-06-03,1172704.72219
2015-06-02,2086859.88626
2015-06-01,2404867.59715
2015-05-31,862849.440218
2015-05-30,1100197.16335
2015-05-29,1599476.10412
2015-05-28,1329201.29597
2015-05-27,1917704.58942
2015-05-26,1966702.79067
2015-05-25,1090396.64385
2015-05-24,704331.905985
2015-05-23,1284918.23032
2015-05-22,2072782.03936
2015-05-21,1188036.812
2015-05-20,1878977.71632
2015-05-19,1645994.51369
2015-05-18,1151300.87603
2015-05-17,735036.923305
2015-05-16,795922.661405
