Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2015-12-31,426.09,433.89,419.99,430.89,6634.86316708,2833319.6997,427.035136725
2015-12-30,431.7,434.97,420.75,425.84,7717.51026264,3315825.43124,429.649630308
2015-12-29,420.81,433.33,418.55,431.82,10419.585366,4444308.022,426.534057346
2015-12-28,421.78,429.86,417.01,421.46,7560.56299201,3204101.78999,423.791428414
2015-12-27,417.11,425.42,410.5,421.76,6968.57365917,2921475.21718,419.235751829
2015-12-26,455.5,457.45,407.25,417.39,26672.1217307,11386692.9169,426.913652834
2015-12-25,455.78,458.33,448.0,455.51,2877.16735131,1304947.59033,453.552898039
2015-12-24,443.01,459.54,443.01,455.0,10138.31555,4598655.91625,453.5917129
2015-12-23,435.65,445.52,434.43,442.56,7100.2282874,3125137.43094,440.146049457
2015-12-22,438.14,443.58,433.06,435.48,8146.01738798,3563201.25457,437.416357572
2015-12-21,442.47,450.0,425.52,438.07,18930.8631861,8257540.79075,436.194626181
2015-12-20,461.89,462.0,433.83,442.54,16626.4883553,7430072.73302,446.881661013
2015-12-19,463.7,465.9,452.03,461.8,6839.17868702,3156242.37545,461.494357713
2015-12-18,455.37,466.64,453.5,462.46,12914.7368034,5937708.34397,459.762241722
2015-12-17,455.61,458.84,448.75,456.17,6598.6409486,3000514.42095,454.717031026
2015-12-16,464.53,465.0,436.89,455.87,23377.1225734,10627485.4304,454.610502085
2015-12-15,443.3,464.99,442.94,464.53,18096.3882832,8237602.55391,455.20699628
2015-12-14,433.13,448.12,428.42,443.36,13386.7441573,5908604.60255,441.377270912
2015-12-13,436.08,442.97,422.03,433.07,11725.6672396,5101509.33067,435.071985791
2015-12-12,453.12,467.8,403.0,436.19,29770.2837977,12875519.5395,432.495693591
2015-12-11,415.57,454.48,415.13,453.04,29020.1983936,12715568.601,438.162704076
2015-12-10,416.69,419.79,408.91,415.57,8463.88473949,3514699.25312,415.258402175
2015-12-09,416.67,424.95,400.0,416.98,21039.9085073,8726381.89446,414.753794743
2015-12-08,395.57,418.87,388.33,417.89,11455.1410917,4567280.01268,398.710061807
2015-12-07,388.54,399.91,381.01,395.57,14949.5860745,5868357.22485,392.543124312
2015-12-06,388.0,399.85,383.0,388.24,14679.4360319,5754540.48816,392.013731023
2015-12-05,363.62,389.89,363.0,388.0,16784.1266675,6338715.40366,377.661318295
2015-12-04,361.48,364.3,355.92,363.62,9989.28021734,3596927.19839,360.078716397
2015-12-03,359.11,370.53,356.21,361.42,12190.8839355,4423950.84389,362.890079776
2015-12-02,362.7,362.84,348.64,358.89,12343.4077678,4390062.72969,355.660512257
2015-12-01,376.7,379.0,354.56,363.06,15410.2823517,5617537.1515,364.531747264
2015-11-30,371.2,383.0,367.11,376.71,18097.9532103,6809125.59949,376.237330286
2015-11-29,356.78,373.15,354.45,371.48,7817.18354971,2854062.8005,365.101162376
2015-11-28,357.42,359.44,350.41,356.95,6275.36735525,2225597.70017,354.656161812
2015-11-27,353.9,364.8,347.84,357.14,13276.8300685,4753695.22972,358.044443229
2015-11-26,328.9,369.7,328.53,353.21,35986.1624861,12574100.1627,349.414866549
2015-11-25,319.7,330.84,316.0,328.9,12253.7599758,3964830.33968,323.560307
2015-11-24,323.48,323.5,317.0,319.7,8649.01893298,2774792.55142,320.82165306
2015-11-23,324.2,326.09,320.39,323.48,5101.55728889,1649850.43544,323.401334535
2015-11-22,326.5,326.6,320.13,324.2,4062.21223126,1312398.59633,323.074847304
2015-11-21,322.04,328.94,318.52,326.5,5129.35325162,1666609.81892,324.916171135
2015-11-20,326.51,327.73,310.0,322.04,21303.6411638,6794004.84698,318.912846624
2015-11-19,335.68,336.48,324.92,326.02,26919.5167077,8937135.62207,331.994653512
2015-11-18,336.0,337.89,330.28,335.65,27252.0999899,9115915.94042,334.503247229
2015-11-17,330.82,350.44,329.0,336.08,27718.6758523,9324687.15739,336.404495189
2015-11-16,319.29,332.25,315.0,330.83,22243.8225204,7220301.63287,324.598059809
2015-11-15,332.95,334.99,314.6,319.28,27643.5608105,8952296.30045,323.847436364
2015-11-14,336.98,356.1,325.45,333.0,25628.3782729,8596759.48718,335.439074437
2015-11-13,337.0,342.0,325.0,336.99,24663.4729572,8239048.11008,334.058716076
2015-11-12,309.95,344.78,308.42,337.17,37744.4469885,12327089.4267,326.593457057
