Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2015-11-07,363.795,380.0,361.773,371.5,10110.8742064,3761699.75212,372.044956286
2015-11-06,381.093,388.0,336.0,363.437,26068.6606787,9466737.08235,363.146277403
2015-11-05,404.0,439.998,363.0,381.939,32319.4635765,12748520.7509,394.453352257
2015-11-04,374.372,459.2,371.625,404.8,54489.7980067,22900978.0998,420.280106322
2015-11-03,335.416,398.765,327.0,374.997,41038.6236304,14859046.1712,362.074671536
2015-11-02,305.745,338.98,302.299,334.773,24257.5006594,7781548.76036,320.78938674
2015-11-01,303.466,310.009,296.0,306.241,13362.7670156,4067840.22295,304.416010412
2015-10-31,313.868,318.0,300.01,303.466,8021.66311061,2477523.46362,308.854090413
2015-10-30,303.167,322.0,301.476,313.207,17619.8965736,5527515.30304,313.708725811
2015-10-29,297.729,312.0,295.0,302.796,14990.7696388,4539980.6108,302.851736115
2015-10-28,289.513,300.0,288.316,298.0,10244.029388,3034840.32605,296.254550931
2015-10-27,281.985,293.0,281.101,289.894,11459.4979752,3290351.05462,287.128726035
2015-10-26,276.3,281.986,273.938,281.854,5930.71738462,1652379.78551,278.613813195
2015-10-25,277.055,288.957,274.1,276.3,9992.21766457,2819770.66019,282.196680942
2015-10-24,270.619,277.9,269.984,277.001,5704.73776272,1559397.36841,273.351279809
2015-10-23,268.818,272.9,267.053,270.615,6346.61289186,1720156.38307,271.035340012
2015-10-22,263.268,272.499,263.0,269.0,8572.76928714,2295757.59221,267.796497878
2015-10-21,266.828,269.026,260.204,263.383,5999.16393342,1584757.83255,264.163115083
2015-10-20,261.311,269.8,260.57,266.469,7774.46116929,2061948.11141,265.220710029
2015-10-19,258.781,262.2,256.9,261.311,7144.2531898,1859017.09156,260.211535366
2015-10-18,265.127,268.655,256.975,258.962,6511.30258594,1701370.51619,261.294955
2015-10-17,259.989,273.0,259.02,265.161,10618.1116541,2830591.49392,266.581439913
