Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2015-12-31,423.51,432.59,412.5,429.02,21403.6592821,9064970.47541,423.524330859
2015-12-30,431.77,434.0,420.0,423.55,22247.5964583,9510396.4234,427.479725336
2015-12-29,420.11,433.55,418.01,431.79,22073.5631997,9413632.52668,426.466377064
2015-12-28,421.82,429.0,417.01,420.24,24284.3300766,10283400.8474,423.458288328
2015-12-27,416.35,424.89,407.0,422.32,27798.8155107,11636026.5029,418.579939078
2015-12-26,455.3,460.05,405.5,416.51,96470.8738975,41113509.7436,426.175363429
2015-12-25,456.02,460.0,445.0,455.47,15176.7280263,6889657.66578,453.961990611
2015-12-24,442.62,459.1,442.45,456.13,19865.7383194,9005727.28445,453.329603946
2015-12-23,435.05,445.76,433.62,442.62,16464.7867775,7253094.55915,440.521620911
2015-12-22,437.81,443.64,433.0,435.65,18486.2109485,8098384.33469,438.077027101
2015-12-21,442.62,447.45,424.37,437.52,43153.4582343,18809064.5072,435.864592938
2015-12-20,462.45,462.78,431.5,442.62,46317.8463263,20600662.553,444.767280584
2015-12-19,463.51,467.0,452.0,462.44,21214.6797221,9776275.39462,460.825971577
2015-12-18,455.71,466.6,450.1,463.52,27045.4316643,12441019.8559,460.004484687
2015-12-17,454.94,458.56,446.21,455.57,17826.0175517,8087268.39449,453.677798255
2015-12-16,466.43,469.99,440.0,454.94,67032.8754023,30536366.0079,455.543132003
2015-12-15,442.55,467.29,442.51,466.01,41284.0145816,18909243.4033,458.028212491
2015-12-14,432.91,450.0,427.3,442.59,27298.3671313,12084521.6341,442.682947885
2015-12-13,435.61,443.92,415.24,433.36,33644.4114141,14610592.6576,434.265069399
2015-12-12,456.32,475.04,402.5,435.61,104578.32401,45583128.8873,435.87549637
2015-12-11,414.88,458.99,414.8,457.0,75607.4008833,33264160.2201,439.959049398
2015-12-10,418.86,421.82,411.09,414.94,21325.4436757,8873323.20982,416.090907404
2015-12-09,422.0,426.59,405.0,418.73,52054.2107085,21717510.8697,417.20949322
2015-12-08,397.0,422.39,388.37,422.0,33197.5458616,13439993.7238,404.849014439
2015-12-07,390.88,404.24,384.53,396.7,33608.0216661,13287264.4895,395.359912033
2015-12-06,390.01,407.57,386.01,390.6,60580.329364,24004059.9399,396.235216808
2015-12-05,363.04,395.0,362.08,389.79,46136.895401,17473122.8105,378.723419915
2015-12-04,360.62,364.4,354.31,363.17,14651.487496,5265260.59636,359.36696515
2015-12-03,359.12,371.5,352.25,360.53,27383.7998961,9930654.425,362.647056387
2015-12-02,362.59,363.22,346.13,359.12,31554.7711215,11199323.8471,354.916972905
2015-12-01,376.89,379.99,353.1,362.59,44093.4687138,16047535.5718,363.943596182
2015-11-30,373.84,384.99,368.11,376.88,47494.9373784,17947699.4991,377.886580966
2015-11-29,358.54,376.0,355.17,373.89,25779.9895178,9442646.07258,366.278119161
2015-11-28,359.0,362.44,351.0,358.6,19427.6777884,6911306.26006,355.745361609
2015-11-27,354.0,367.0,348.18,358.9,34902.8588615,12517129.5184,358.627628988
2015-11-26,329.85,369.9,329.35,354.0,81485.1298224,28403910.2716,348.577836637
2015-11-25,320.49,332.43,316.02,329.85,20518.1656995,6684631.20523,325.790877368
2015-11-24,323.65,323.77,315.55,320.1,9618.01049005,3083574.96457,320.604242193
2015-11-23,324.66,327.5,320.9,323.63,7775.67515741,2519664.1122,324.044415589
2015-11-22,327.84,327.85,320.36,324.66,7051.90999034,2282174.76321,323.625055671
2015-11-21,322.29,329.35,318.95,327.84,10478.8557162,3412362.29284,325.642645081
2015-11-20,326.49,326.77,309.46,322.2,30160.0102475,9611131.4791,318.671359864
2015-11-19,335.83,336.57,324.02,326.5,18932.5528605,6235704.00139,329.364140553
2015-11-18,336.29,338.99,327.91,335.94,15625.5383197,5222522.72877,334.229939597
2015-11-17,332.16,342.5,331.05,336.29,27167.9770199,9136134.93007,336.283225041
2015-11-16,320.8,335.0,315.2,332.1,25747.0142364,8402423.79087,326.345560449
2015-11-15,333.39,336.6,315.0,320.52,31597.1678629,10235535.9347,323.938397869
2015-11-14,338.54,340.72,328.5,333.37,20324.6267693,6793833.8217,334.266104801
2015-11-13,336.86,343.75,326.22,338.53,29935.6302297,10026918.494,334.949303457
2015-11-12,314.45,346.44,314.14,336.84,57235.7452055,18939528.9371,330.903858578
2015-11-11,340.18,343.79,300.28,314.45,117015.476816,36947775.4928,315.751185212
2015-11-10,381.1,383.4,327.02,340.18,88482.2746787,31319531.3149,353.963903264
2015-11-09,374.52,388.99,360.0,381.1,38111.9548491,14351557.0669,376.563131535
2015-11-08,384.28,390.33,365.56,374.1,30831.923011,11699366.7583,379.45627829
2015-11-07,375.56,392.23,371.32,384.99,34416.7134629,13221547.3046,384.160658422
2015-11-06,387.93,396.78,351.2,375.56,106625.955543,39710996.8438,372.432740617
2015-11-05,409.23,449.95,370.0,387.14,157865.945783,63470290.8819,402.051820405
2015-11-04,404.98,504.0,366.66,409.24,274465.728234,122290339.116,445.557774748
2015-11-03,365.08,423.88,361.11,405.0,171790.927933,67276501.0869,391.618474249
2015-11-02,330.23,373.12,326.8,365.33,71218.1479877,24912476.8542,349.805176884
2015-11-01,316.0,333.49,313.6,330.23,25673.0870176,8285303.32735,322.723298591
2015-10-31,328.2,335.87,307.2,316.0,42942.3117878,13754581.7563,320.303709411
2015-10-30,314.23,336.0,313.82,328.19,62862.1079376,20471962.346,325.664585831
2015-10-29,304.5,321.53,301.5,314.88,51213.8433123,15983187.8568,312.087256552
2015-10-28,295.29,307.99,295.29,304.5,35610.6397049,10728047.5538,301.259613496
2015-10-27,287.22,298.86,286.71,295.29,26822.8422907,7875019.41539,293.593770937
